 20%|██        | 6/30 [29:01<1:56:58, 292.44s/it]
Epoch 0, Phase train
Step 124, Images [32000/50000 (64%)] Loss: 1.42 Accuracy: 12993/32000 (40.60%) Time: Thu Nov 28 19:06:51 2024
Step 195, Images [50000/50000 (100%)] Loss: 1.28 Accuracy: 24550/50000 (49.10%) Time: Thu Nov 28 19:08:19 2024
Epoch 0, Phase eval
Step 39, Images [10000/10000 (100%)] Loss: 1.21 Accuracy: 6752/10000 (67.52%) Time: Thu Nov 28 19:09:05 2024
Epoch 1, Phase train
Step 124, Images [32000/50000 (64%)] Loss: 0.96 Accuracy: 22529/32000 (70.40%) Time: Thu Nov 28 19:11:42 2024
Step 195, Images [50000/50000 (100%)] Loss: 0.97 Accuracy: 35664/50000 (71.33%) Time: Thu Nov 28 19:13:09 2024
Epoch 1, Phase eval
Step 39, Images [10000/10000 (100%)] Loss: 0.93 Accuracy: 7364/10000 (73.64%) Time: Thu Nov 28 19:13:57 2024
Epoch 2, Phase train
Step 124, Images [32000/50000 (64%)] Loss: 0.84 Accuracy: 23851/32000 (74.53%) Time: Thu Nov 28 19:16:36 2024
Step 195, Images [50000/50000 (100%)] Loss: 0.86 Accuracy: 37396/50000 (74.79%) Time: Thu Nov 28 19:18:05 2024
Epoch 2, Phase eval
Step 39, Images [10000/10000 (100%)] Loss: 0.83 Accuracy: 7590/10000 (75.90%) Time: Thu Nov 28 19:18:55 2024
Epoch 3, Phase train
Step 124, Images [32000/50000 (64%)] Loss: 0.79 Accuracy: 24444/32000 (76.39%) Time: Thu Nov 28 19:21:30 2024
Step 195, Images [50000/50000 (100%)] Loss: 0.60 Accuracy: 38321/50000 (76.64%) Time: Thu Nov 28 19:23:02 2024
Epoch 3, Phase eval
Step 39, Images [10000/10000 (100%)] Loss: 0.75 Accuracy: 7669/10000 (76.69%) Time: Thu Nov 28 19:23:47 2024
Epoch 4, Phase train
Step 124, Images [32000/50000 (64%)] Loss: 0.66 Accuracy: 24684/32000 (77.14%) Time: Thu Nov 28 19:26:23 2024
Step 195, Images [50000/50000 (100%)] Loss: 0.77 Accuracy: 38689/50000 (77.38%) Time: Thu Nov 28 19:27:52 2024
Epoch 4, Phase eval
Step 39, Images [10000/10000 (100%)] Loss: 0.73 Accuracy: 7782/10000 (77.82%) Time: Thu Nov 28 19:28:37 2024
Epoch 5, Phase train
Step 124, Images [32000/50000 (64%)] Loss: 0.68 Accuracy: 24928/32000 (77.90%) Time: Thu Nov 28 19:31:19 2024
Step 195, Images [50000/50000 (100%)] Loss: 0.61 Accuracy: 39090/50000 (78.18%) Time: Thu Nov 28 19:32:44 2024
Epoch 5, Phase eval
Step 39, Images [10000/10000 (100%)] Loss: 0.69 Accuracy: 7820/10000 (78.20%) Time: Thu Nov 28 19:33:33 2024
Epoch 6, Phase train
Step 124, Images [32000/50000 (64%)] Loss: 0.68 Accuracy: 25080/32000 (78.38%) Time: Thu Nov 28 19:36:03 2024
Step 195, Images [50000/50000 (100%)] Loss: 0.60 Accuracy: 39277/50000 (78.55%) Time: Thu Nov 28 19:37:31 2024
Epoch 6, Phase eval
Step 39, Images [10000/10000 (100%)] Loss: 0.65 Accuracy: 7873/10000 (78.73%) Time: Thu Nov 28 19:38:16 2024
Epoch 7, Phase train
Step 124, Images [32000/50000 (64%)] Loss: 0.58 Accuracy: 25265/32000 (78.95%) Time: Thu Nov 28 19:40:50 2024
Step 195, Images [50000/50000 (100%)] Loss: 0.68 Accuracy: 39505/50000 (79.01%) Time: Thu Nov 28 19:42:16 2024
Epoch 7, Phase eval
Step 39, Images [10000/10000 (100%)] Loss: 0.64 Accuracy: 7916/10000 (79.16%) Time: Thu Nov 28 19:43:03 2024
Epoch 8, Phase train
Step 124, Images [32000/50000 (64%)] Loss: 0.61 Accuracy: 25390/32000 (79.34%) Time: Thu Nov 28 19:45:38 2024
Step 195, Images [50000/50000 (100%)] Loss: 0.56 Accuracy: 39754/50000 (79.51%) Time: Thu Nov 28 19:47:07 2024
Epoch 8, Phase eval
Step 39, Images [10000/10000 (100%)] Loss: 0.62 Accuracy: 7918/10000 (79.18%) Time: Thu Nov 28 19:47:53 2024
Epoch 9, Phase train
Step 124, Images [32000/50000 (64%)] Loss: 0.60 Accuracy: 25432/32000 (79.47%) Time: Thu Nov 28 19:50:28 2024
Step 195, Images [50000/50000 (100%)] Loss: 0.62 Accuracy: 39763/50000 (79.53%) Time: Thu Nov 28 19:51:59 2024
Epoch 9, Phase eval
Step 39, Images [10000/10000 (100%)] Loss: 0.60 Accuracy: 7952/10000 (79.52%) Time: Thu Nov 28 19:52:43 2024
Epoch 10, Phase train
Step 124, Images [32000/50000 (64%)] Loss: 0.58 Accuracy: 25564/32000 (79.89%) Time: Thu Nov 28 19:55:22 2024
Step 195, Images [50000/50000 (100%)] Loss: 0.58 Accuracy: 39953/50000 (79.91%) Time: Thu Nov 28 19:56:50 2024
Epoch 10, Phase eval
